Index,DocID,PairID,Score,Text
42,f_pp,f_pp_65,0.969,"I have just learned that I am pregnant and I am blaming you.
I just found out I am pregnant and it is your fault!!!"
43,nmt_pp,nmt_pp_163,0.969,"It matters tremendously to you, this, doesn't it?
it's very important to you, isn't it?"
44,f_pp,f_pp_270,0.969,"John Schneider has aged gracefully, I loved him on the show 'Dukes of Hazzard!'
John Schneider has aged very well...i loved him on The Dukes of Hazzard!"
45,f_pp,f_pp_266,0.969,"Also, men mature later then women.
Also, men mature later than woman."
46,nmt_pp,nmt_pp_230,0.969,"It makes it worse that no one will just say it.
it's just worse if nobody just says it."
47,nmt_pp,nmt_pp_417,0.969,"Then, in twenty minutes, gather at the runway.
gathering on the runway, in 20 minutes."
48,f_pp,f_pp_202,0.969,"It is still up in the air.
it is still a toss up.."
49,f_pp,f_pp_169,0.969,"Yes I remember that it was very good.
Yea I remember it..it was pretty good"
50,f_pp,f_pp_173,0.969,"If they ask for money, tell them no. No agent should be paid until you have received the work.
(if they ask for money, you say no.... no agent gets paid until you have gotten work."
51,nmt_pp,nmt_pp_345,0.969,"And there are large numbers of these cells making up the nervous system.
the nervous system is comprised of a huge number of cells."
52,f_pp,f_pp_154,0.969,"That song will be played by guys to their girl friends.
And guys will play that song for their girlfriend or something."
53,sts,sts_231,0.969,"Croatia begins countdown to historic EU entry
Croatia countdowns to joining EU"
54,f_pp,f_pp_283,0.969,"I enjoy when the Underdog wins.
I like when the underdog wins."
55,sts,sts_194,0.969,"Green Lantern to be reintroduced as gay by DC Comics
Green Lantern to be relaunched as gay superhero"
56,sts,sts_229,0.969,"Moffitt said the results need to be replicated in another study before testing of individuals for presence of the long or short versions of the gene will be pursued.
Professor Moffitt said the results needed to be replicated before pursuing testing of individuals for the presence of the long or short versions of the gene."
57,nmt_pp,nmt_pp_295,0.969,"The study of these creatures has been my life's work.
I've spent my entire life studying these creatures."
58,sts,sts_224,0.969,"The man is eating.
A man is eating food."
59,f_pp,f_pp_267,0.969,"The blind man said, ""I see,"" as he picked up his hammer and saw.
I see, said the blind man, as he picked up his hammer and saw."
60,sts,sts_228,0.969,"The man and two young boys jump on a trampoline.
A man and two boys jump on a trampoline."
61,f_pp,f_pp_79,0.969,"Greyhound does a good job at transporting people to different places.
Greyhound is pretty good at getting you places you need to go."
62,nmt_pp,nmt_pp_257,0.969,"He kept the gun raised, and although it was shaking, it was still pointing in David's direction.
the gun was still pointed, and though his hand was trembling, he was aiming virtually permanently at David."
63,nmt_pp,nmt_pp_135,0.967,"The number of my father's friends amazes me.
I'm surprised how many friends my father had."
64,f_pp,f_pp_143,0.967,"I very much enjoy Billy Talent. They are one of my favorite groups.
I just love Billy Talent, they are one of my favourites."
65,sts,sts_197,0.938,"Two women posing with a baby.
Two smiling women holding a baby."
66,f_pp,f_pp_161,0.938,"Best of luck completing your task. If you get the answer right, you can earn 5 more points.
Good Luck and it would be worth another 5 points if you get your answer right?"
67,f_pp,f_pp_257,0.938,"Their address is: 47483 Conneticut Dr, Nashville.
they live on 47483 conneticuit drive in nashville"
68,f_pp,f_pp_232,0.938,"He claims to desire a pair of sunglasses.
He says he wants a pair of sunglasses!"
69,f_pp,f_pp_191,0.938,"Keep searching in different areas. There are decent, enjoyable women out there.
keep looking in different places, there are decent, fun, women out there..."
70,f_pp,f_pp_256,0.938,"I was supposed to go to the movies and go-kart racing on my prom night.
on my prom night i was supposed to go to the movies and go go kart racing!"
71,nmt_pp,nmt_pp_434,0.938,"Close up, the shale pieces looks rather lovely.
close-up pieces of shale look quite nice."
72,sts,sts_165,0.938,"About 60 Crushed to Death in Ivory Coast Stampede
61 dead in Ivory Coast stampede"
73,f_pp,f_pp_186,0.938,"Not any more than any other female.
No more than any other girl !"
74,f_pp,f_pp_290,0.938,"I disagree, I love ER and Wildfire!
No, I love ER.. and Wildfire!"
75,f_pp,f_pp_201,0.938,"Coldplay is becoming popular really quickly.
coldplay is really coming up fast!"
76,w_pp,w_pp_144,0.938,"The sequel , Pikmin 2 , was released in 2004 .
Pikmin had a sequel called Pikmin 2 in 2004 for the GameCube as well ."
77,sts,sts_241,0.938,"A woman and man are dancing in the rain.
A man and woman are dancing in rain."
78,w_pp,w_pp_174,0.938,"Jamun trees start flowering from March to April .
The Jamun tree starts flowering in March-April ."
79,w_pp,w_pp_423,0.938,"Cottontail rabbits show a greater resistance to myxomatosis than European rabbits .
Cottontail rabbits do not get the disease myxomatosis as easily as European rabbits ."
80,nmt_pp,nmt_pp_308,0.938,"Me and my friends used to love getting manicures.
my friends and I loved going out for a manicure."
81,f_pp,f_pp_273,0.938,"The second answer was I just went to the toilet and I got a Tampax.
the 2nd answer was : i just went to the toilet and i got a tampax."
82,w_pp,w_pp_120,0.938,"Bishan currently has 3 shopping centres .
Bishan has three shopping centers ."
83,nmt_pp,nmt_pp_200,0.938,"All right, who's ready for some banana-peanut butter pancakes?
okay, who wants banana pancakes with peanut butter?"
84,f_pp,f_pp_279,0.938,"I read somewhere, a new movie will be coming out 2008, or next year.
i read somewhere a new movie will be coming out next year or 2008."
85,sts,sts_247,0.938,"One woman is measuring another woman's ankle.
A woman measures another woman's ankle."
86,f_pp,f_pp_141,0.938,"It might be genetic or he might like dark colored make-up on his nose.
maybe its genetic...or maybe he likes dark makeup on his nose!!!"
87,f_pp,f_pp_16,0.938,"I like Tess but Jessica is too much of a goody-goody!
I like Tess,Jessica is to goody goody!"
88,w_pp,w_pp_204,0.938,"Pittodrie Stadium is a football stadium situated in the Scottish city of Aberdeen .
Pittodrie Stadium is a stadium in Aberdeen , Scotland ."
89,f_pp,f_pp_274,0.938,"Do nt feel bad. My son is 31 and still single.
Dont feel bad, my son is 31 and still single."
90,f_pp,f_pp_272,0.938,"A good website to resell your books is half.com.
half.com is a great website to sell your books!"
91,f_pp,f_pp_292,0.938,"Flowers, normally roses, and a box of candy.
flowers normally roses and a thing of candy!"
92,nmt_pp,nmt_pp_266,0.938,"I'm going to get you safely out of Rome.
I'll take you from Rome to safety."
93,f_pp,f_pp_296,0.938,"Well, here's a slipknot site www.Pulseofthemaggots.com.
um well here is a slipknot site www.pulseofthemaggots.com !!"
94,f_pp,f_pp_131,0.938,"Your questions do not make any sence.
your questions dont make no sense!!!!!!"
95,f_pp,f_pp_197,0.938,"It depends, do you really want to meet him?
it depends if you really want to meet him."
96,w_pp,w_pp_467,0.938,"The Flat Earth model is a view that the Earth 's shape is a flat plane .
The idea of a flat Earth is that the surface of the Earth is flat ."
97,w_pp,w_pp_490,0.938,"Fluoxetine is an antidepressant of the selective serotonin reuptake inhibitor class .
Fluoxetine is a one of a group of antidepressants called selective serotonin reuptake inhibitors ."
98,f_pp,f_pp_262,0.938,"You already made your decision.
you already made your decision....it's over."
99,nmt_pp,nmt_pp_238,0.938,"Amsterdam is just a load of bloody prostitutes, isn't it?
there's only a bunch of prostitutes in Amsterdam, right?"
100,sts,sts_223,0.938,"Syrian opposition offers Assad truce in Homs for duration of Ramadan
Syrian opposition offers Assad's forces truce for duration of Ramadan"
101,f_pp,f_pp_148,0.938,"I like that song if it is the right song.
I LIKE THAT SONG IF IT'S THE RIGHT SONG ;)"
102,sts,sts_234,0.938,"Obama Praises Mandela 'Inspiration'
Obama hails Mandela's inspiration effect"
103,f_pp,f_pp_243,0.938,"Make yourself happy before anyone else!
Make urself happy before anyone else!"
104,sts,sts_212,0.938,"KL shares remain higher mid-afternoon
KL shares continue uptrend mid-afternoon"
105,w_pp,w_pp_7,0.938,"Autograph also refers to a person 's signature .
An autograph can also mean someones signature ."
106,w_pp,w_pp_29,0.938,"Game Maker is a Windows computer program originally developed by Mark Overmars in the Delphi programming language .
Game Maker is a program for Windows - An operating system - which was made first by Mark Overmars ."
107,nmt_pp,nmt_pp_443,0.938,"No wonder Edward was reacting this way.
it was no surprise that Edward reacted like that."
108,f_pp,f_pp_177,0.938,"I am not sure if you need saxophone or piano music.
Not sure if you needed sax or piano music, anyway."
109,f_pp,f_pp_282,0.938,"Keifer performed well as Jack Bauer.
Yeah, Keifer does a great job as Jack Bauer!!"
110,w_pp,w_pp_358,0.938,"By 1850 , Strauss was calling himself Levi .
By 1850 he had adopted the name `` Levi Strauss '' ."
111,f_pp,f_pp_238,0.938,"Take him aside and tell him how you truly feel.
take him aside and tell him how u truly feel"
112,w_pp,w_pp_11,0.938,"Fred Hoyle is credited with coining the term Big Bang during a 1949 radio broadcast .
Fred Hoyle called the theory the `` Big Bang '' on his radio show ."
113,sts,sts_243,0.938,"Snowden sees 'no chance' for US fair trial
Snowden sees ""no chance"" to get fair trial in U.S."
114,f_pp,f_pp_220,0.938,"I believe it could have been more dramatic.
I think it could have been more dramatic!"
115,w_pp,w_pp_271,0.938,"A minimum wage is the lowest hourly , daily or monthly wage that employers may legally pay to employees or workers .
The minimum wage is the least amount of money that employees of a business can be paid ."
116,f_pp,f_pp_268,0.938,"I'm black and found it funny.
I'm black and found it hilariously funny!!!"
117,w_pp,w_pp_148,0.938,"Artists ' brushes are usually given numbered sizes , although there is no exact standard for their physical dimensions .
Artists ' brushes usually have sizes with numbers , but there is no standard ."
118,f_pp,f_pp_249,0.938,"I don't know, sorry but she has got a great voice and my favorite song by her is Breakaway.
i dunno sorry but she has got a great voice and my favorite song by her is breakaway"
119,sts,sts_244,0.938,"Federer Wins 7th Wimbledon Title
Federer captures 7th Wimbledon title"
120,f_pp,f_pp_170,0.938,"You ought to begin your life anew.
you should start your life a new."
121,w_pp,w_pp_205,0.938,"At the 2006 census , Euroa had a population of 2,776 .
In 2006 there were 2,776 people living in the town ."
122,nmt_pp,nmt_pp_432,0.938,"I had a lot of help from Jack Daniels.
Jack Daniels helped me a lot."
123,f_pp,f_pp_166,0.938,"How can I go about winning her back?
How do i win her back?"
124,nmt_pp,nmt_pp_263,0.938,"The implementation of the Directive's provisions on sanctions against employers needs to be supported and monitored.
it will need to monitor and control the implementation of the Directive, which sets out penalties for employers."
125,w_pp,w_pp_46,0.938,"Denkova & Staviski are the first Bulgarian figure skaters to medal at the World Figure Skating Championships .
Denkova and Staviski are the first Bulgarian skaters to win Worlds , which they did in 2006 and 2007 ."
126,w_pp,w_pp_43,0.938,"Xenon is the only element which has nine stable isotopes .
For example , xenon has 9 isotopes ."
127,nmt_pp,nmt_pp_98,0.938,"Seeing you is gonna make your grandmother very happy.
grandma will be happy to see you."
128,f_pp,f_pp_20,0.938,"People like and desire the unattainable.
People like and want what they can't have."
129,f_pp,f_pp_218,0.938,"Matthew McConaughey, and I am not even gay.
matthew mcchanughey.. and i aint even gay!"
130,nmt_pp,nmt_pp_212,0.938,"This year's search for bodies has produced twenty bodies.
twenty bodies have been found this year."
131,f_pp,f_pp_144,0.938,"I have no clue as to why people are giving rude answers.
i don't know why all the people keep giving rude answers."
132,snli,snli_661,0.933,"A gas station that costs$ 2.52 and nine-tenths a gallon.
A gas station name m&h with gas the price of$ 2.52."
133,sts,sts_227,0.933,"Michelle Obama To Star In Parks And Recreation
Michelle Obama to appear on 'Parks and Recreation'"
134,nmt_pp,nmt_pp_29,0.933,"I'm not accusing him of being anything but shrewd and ambitious, after all.
after all, I blame him nothing more than cunning and ambition."
135,w_pp,w_pp_365,0.906,"The Asiatic Salamanders are primitive salamanders found all over Asia , and in European Russia .
The Asiatic Salamanders are a primitive kind of salamanders that can be found throughout Asia ."
136,f_pp,f_pp_298,0.906,"Wedding Crashers and the 40 year old virgin.
Wedding Crashers and 40 Year-Old Virgin."
137,nmt_pp,nmt_pp_347,0.906,"You are the brother of Ragnar Lothbrok, are you not?
you're Ragnar Lothbrok's brother, aren't you?"
138,f_pp,f_pp_263,0.906,"To answer your question, any big city. Just ask a cab driver.
To answer your question, any big city.................just ask a cab driver."
139,nmt_pp,nmt_pp_139,0.906,"We're already two million, two over the original budget.
we have exceeded the original budget by 2.2 million."
140,f_pp,f_pp_127,0.906,"I would like to hear your side of the story.
i want to hear ur side"
141,f_pp,f_pp_265,0.906,"I wanted to see how people would react.
in because i wanted to see how people would react."
142,f_pp,f_pp_89,0.906,"If you do not, there is a reason why you do no.
If you don't, is there a reason you don't."
143,f_pp,f_pp_115,0.906,"People always want things that they cannot obtain.
People always want what they can't have."
144,nmt_pp,nmt_pp_20,0.906,"Just looking at those pictures, it's got to be rough.
it must have been hard to examine the pictures."
145,sts,sts_246,0.906,"US believes Syrian government used chemical weapons
US suspects Syria used chemical weapons"
146,f_r,f_r_103,0.906,"To get over to the other side.
To get to the toher side"
147,sts,sts_204,0.906,"Track fault disrupts train service between Raffles Place, Marina Bay
Train service disrupted between Raffles Place and Marina Bay"
148,f_pp,f_pp_133,0.906,"I do not know anything about her father
I dont know about her father."
149,w_pp,w_pp_463,0.906,"Hamming can detect and correct single-bit errors and also can detect double-bit errors .
With hamming codes it is possible to correct one-bit errors , and to detect two-bit errors ."
150,f_pp,f_pp_295,0.906,"Living On A Prayer."" Bon Jovi
Livin On A Prayer Bon Jovi"
151,sts,sts_239,0.906,"A swimmer is doing the backstroke in the swimming pool.
a person doing the back stroke in a swimming pool"
152,nmt_pp,nmt_pp_258,0.906,"Ew, Bridgette's drinking from the milk carton.
phew Bridgette drinks milk right out of the box."
153,gr,gr_940,0.906,"I'm looking forward to reading the rest of the series.
I look forward to reading the rest in this series."
154,f_pp,f_pp_100,0.906,"Using the ""Just Say No"" motto depends on the circumstances.
Just say No Depends what you're saying no to."
155,gr,gr_768,0.906,"This book was a lot of fun.
** spoiler alert ** This was a really fun book."
156,f_pp,f_pp_207,0.906,"I had a nervous stomach because he frightened me.
I had butterflies in my stomach b/c he scared me."
157,f_r,f_r_639,0.906,"I think you need to wait until you become mature enough to handle this situation.
If you can't handle it, wait until you are mature enough."
158,nmt_pp,nmt_pp_332,0.906,"This shall also include a management plan for the sewage sludge.
the waste sludge management plan is also included."
159,w_pp,w_pp_232,0.906,"Around 12 AM , the plant released methyl isocyanate gas and other toxins , resulting in the exposure of over 500,000 people .
On 3 December 1984 , the plant released 42 tonnes of toxic methyl isocyanate gas , exposing more than 500,000 people to toxic gases ."
160,f_pp,f_pp_147,0.906,"You need to get an agent and make sure you get paid before paying anyone else.
Get an agent...and don't pay anyone until you get paid."
161,f_pp,f_pp_286,0.906,"If you know the third 1/18; please share it with me!
if you know the third 1/18, PLEASE share with me!!!"
162,nmt_pp,nmt_pp_422,0.906,"Often, the nervous system collapses after that type of humiliation.
after such humiliation, the nervous system will collapse."
163,nmt_pp,nmt_pp_222,0.906,"Dude, you gotta hook me up with a new phone.
man, I need a new phone from you."
164,f_pp,f_pp_185,0.906,"It is not easy, but it is well worth it.
Definately is not easy, but is well worth it!"
165,w_pp,w_pp_317,0.906,"Raimond Aumann was a German footballer .
Raimond Aumann is a former German football player ."
166,sts,sts_178,0.906,"North Korea fires three short-range missiles
N. Korea fires short-range missiles"
167,f_pp,f_pp_91,0.906,"The answer is because you enjoy being in the presence of that person.
THE ANSWER IS B'CUZ YOU FEEL GOOD HAVING THAT PERSON WITH YOU."
168,gr,gr_968,0.906,"It's funny and zany in a way that only Terry Pratchett can be.
Clever and wonderful, as only Terry Pratchett can be."
169,f_pp,f_pp_299,0.906,"I like Sinatra for classical performances and Buble for revivals.
Sinatra for classics and Buble for revivals..."
170,nmt_pp,nmt_pp_6,0.906,"It's like, gross, yet oddly delicious.
it's disgusting, but at the same time, weirdly tasty."
171,nmt_pp,nmt_pp_281,0.906,"You are aware of the curfew, I presume.
I assume you know about the curfew."
172,f_pp,f_pp_229,0.906,"The first time I gazed upon his green eyes!
the first time I saw his green eyes!"
173,nmt_pp,nmt_pp_289,0.906,"They are neither taxes nor public prices.
it is not a tax or public price."
174,nmt_pp,nmt_pp_97,0.906,"I said, ""Okay, you two, take off.
fine, you two get out of here now,"" I told them."
175,sts,sts_184,0.906,"During the hearing, Morales expressed ""sincere regrets and remorse"" for his actions.
Morales, who pleaded guilty in July, expressed ""sincere regret and remorse"" for his crimes."
176,f_pp,f_pp_153,0.906,"Would you like to see a movie with me on Friday?
i was wondering if you wanted to go see a movie with me on friday?"
177,w_pp,w_pp_351,0.906,"Sandro Salvadore was an Italian footballer .
Sandro Salvadore is a former Italian football player ."
178,w_pp,w_pp_275,0.906,"The Assembly set the end of its term for 29 September 1791 .
The National Assembly decided that it would stop governing France on 29 September 1791 ."
179,sts,sts_141,0.906,"capital offenses in iran include murder, rape, armed robbery, apostasy, blasphemy, serious drug trafficking, repeated sodomy, adultery, prostitution, treason and espionage.
capital offenses in iran include murder, rape, armed robbery, serious drug trafficking and adultery."
180,w_pp,w_pp_115,0.906,"Adhesive tape can be one of many varieties of backing materials coated with an adhesive .
Adhesive tape is a tape that is coated with adhesive and used to stick objects together ."
181,w_pp,w_pp_208,0.906,"It is also the subject of a documentary , Satanis .
A whole documentary , Satanis was also made about it in 1970 ."
182,nmt_pp,nmt_pp_9,0.906,"It's a five-year lease, 50 grand a month... ....my name on it.
we have a mortgage, five more years... 50,000 a month."
183,f_pp,f_pp_87,0.906,"It does not matter whether the woman admits to liking you or not.
It doesnt matter if the girl admits if she likes u or not."
184,gr,gr_890,0.906,"I can't wait to read the next one in the series.
Can't wait to read the next one."
185,nmt_pp,nmt_pp_127,0.906,"I didn't even have a pet as a child.
we didn't have an animal when I was a kid."
186,nmt_pp,nmt_pp_385,0.906,"The dose of these medicines may need to be adjusted by your doctor.
your doctor may need to adjust your medication."
187,f_pp,f_pp_149,0.906,"I loved it and it was a really good movie.
i loved it is was a realy good movie."
188,sts,sts_169,0.906,"A person folds a tortilla.
A man folds a tortilla."
189,f_pp,f_pp_163,0.906,"You are too young to date or be in love.
To young to date or be in love!"
190,f_pp,f_pp_211,0.906,"Why not stop talking and get a life.
How about not talking and getting a life !"
191,w_pp,w_pp_402,0.906,"At the 2006 census , Eugowra had a population of 535 .
In 2006 , 535 people lived in Eugowra ."
192,w_pp,w_pp_298,0.906,"A stronghold is a strongly fortified defensive structure .
Stronghold means castle or any other strongly fortified place ."
193,f_r,f_r_598,0.906,"That is the key, and the rest will follow.
all the rest will follow soon."
194,nmt_pp,nmt_pp_261,0.906,"All right, I've got the talking pillow now.
okay, now I have a talking pillow."
195,f_pp,f_pp_139,0.906,"I can not see it myself, but I have had quite a few people say it now.
I can't see it myself but i've had quite a few people say it now."
196,f_pp,f_pp_160,0.906,"No, I apologize; all I know is that it was a good movie.
no, sry, all i know was that it was a good movie"
197,f_pp,f_pp_93,0.906,"One important piece of advice: do not have a friend do it.
One thing, don't have a friend do it."
198,f_r,f_r_387,0.906,"One is dead and the other is from a different time period.
hmmmm ones dead and the others from a different time period?"
199,w_pp,w_pp_58,0.906,"At the time , Oakland seemed an unlikely venue for a professional football team .
Oakland was a unlikely city to have a professional American football team ."
200,f_pp,f_pp_269,0.906,"You try to forget everything good, and remember everything bad.
you just try to forget everything good, and remember everything bad."
201,f_pp,f_pp_74,0.906,"It is up to your boyfriend to tell her.
Your bf should be the on telling her."
202,nmt_pp,nmt_pp_105,0.906,"I'll talk to the son of a- Foyle!
I want to talk to this son-of-a-Foyle!"
203,w_pp,w_pp_223,0.906,"The orchestra 's reputation increased most prominently during the music directorship of Serge Koussevitzky .
Serge Koussevitzky was their conductor for many years and made them a world-class orchestra ."
204,f_pp,f_pp_190,0.906,"I definitely believe that there is a 'special someone' for everyone!
I think their is a 'special someone' for everyone!"
205,w_pp,w_pp_459,0.906,"Born in Vienna , Schidlof fled Austria for England following the Nazi Anschluss in 1938 .
Schidlof was born in Vienna , but had to leave Austria when the Nazis came ."
206,w_pp,w_pp_430,0.906,"Pachycephalosaurus is a genus of pachycephalosaurid dinosaur .
Pachycephalosaurus was a member of the Pachycephalosaurid family ."
207,f_pp,f_pp_179,0.906,"My number is lost. May I have yours?
lost my number,can i get yours!"
208,w_pp,w_pp_253,0.906,"Its county seat is Clarksdale .
It 's capital is Clarksdale ."
209,f_pp,f_pp_39,0.906,"I do not think it matters what your race is.
i dont think it matters if your white, black, purple, yellow, etc."
210,nmt_pp,nmt_pp_167,0.906,"That is just as I should hope, Mr Tulkinghorn.
that's what I'm hoping for, Mr. Tulkinghorne."
211,nmt_pp,nmt_pp_389,0.906,"He's got the ball. He's going on the run.
he got the ball and he's running."
212,sts,sts_222,0.906,"a boy plays with a noodle by the pool.
A boy plays with a foam noodle toy by a pool."
213,gr,gr_171,0.906,"This book could have been written better, but it's still nothing to complain about.
So even though the book didn't really ""wow"" me, I still enjoyed reading it."
214,f_pp,f_pp_187,0.906,"I suggest you watch all of it again.
why don't you watch it all over again."
215,sts,sts_213,0.906,"@Lustig Andrei, So Lyndon Johnson and John Kennedy were compatible?
@edgarblythe, So Lyndon Johnson and John Kennedy were compatible?"
216,nmt_pp,nmt_pp_397,0.906,"The Doctor's got them back in their quarters already.
the doctor had already sent them to his quarters."
217,f_pp,f_pp_159,0.906,"To borrow a phrase from Holden Caufield, ""phonies"".
Taking a word from Holden Caulfield here...Phonies"
218,nmt_pp,nmt_pp_120,0.906,"It becomes visible when it breathes fire.
when he's spitting fire, then you can see it."
219,w_pp,w_pp_167,0.906,"At the 2006 census , Beveridge and the surrounding area had a population of 1,192 .
In 2006 there were 1,192 people living in Beveridge and the local area ."
220,f_pp,f_pp_109,0.906,"I really don't know; it's a random guess.
i dono jus a random guess"
221,w_pp,w_pp_68,0.906,"Charlotte Eagles is an American professional soccer team based in Charlotte , North Carolina , United States .
The Charlotte Eagles are a soccer club that plays in Charlotte , North Carolina ."
222,w_pp,w_pp_21,0.906,"The village suffered major congestion until the bypass was built in the 1960s .
In the 1960 's a bypass was built to go around the village ."
223,nmt_pp,nmt_pp_291,0.906,"So come to New York right away, Mark. Please, do it for me.
Mark, if you care about me a little, come to New York."
224,gr,gr_884,0.906,"Drusilla Jane ""DJ"" Jaco is a deputy sentinel of New Orleans.
DJ is employed as the deputy sentinel of New Orleans."
225,nmt_pp,nmt_pp_360,0.906,"He leads the Ranger team we're sending in.
he's leading the Rangers team going there."
226,f_pp,f_pp_157,0.906,"Similar to how I alphabetize my CD collection, certain things have to be done in a particular way.
Like I alphabetize my CD collection and certain things have to be just so."
227,f_pp,f_pp_142,0.906,"The only thing that you can tell by his looks, is that he is hot amd that you want him!
the only thing you can tell by looking at him is if hes hot and you want him!!!!"
228,stance,stance_251,0.906,"@realDonaldTrump I hope and pray you get the nomination. America needs a man with a backbone! And one that can't be bought!
@realDonaldTrump Stay the course! You can win! The USA needs your leadership and competence!"
229,nmt_pp,nmt_pp_161,0.906,"He would have wanted you to have this, honey.
he'd want you to have it, darling."
230,sts,sts_160,0.906,"But the prime minister told the BBC he wasn't bothered by polls and that he would continue to do what he believed to be right.
He said he wasn't bothered by polls and that he would continue to do what he believed to be right, in both foreign and domestic policy."
231,f_pp,f_pp_289,0.906,"Give Palmela and her five sisters a phone call.
Call up Palmela and her five sisters."
232,f_pp,f_pp_156,0.906,"If you make her feel comfortable, then she will like you.
So u make her feel comfortable then she will like u."
233,f_pp,f_pp_236,0.906,"Then you can call anywhere you want.
then presto you can call anywhere you want."
234,f_pp,f_pp_293,0.906,"I think it is called After Dark by Tito and Tarantula.
I think it is After Dark - Tito & Tarantula."
235,f_pp,f_pp_215,0.906,"Be yourself, show them you care for them.
be yourself bro and show them you like and care for them."
236,gr,gr_316,0.906,"All in all this is a wonderful book.
I found myself smiling through out the whole book, and not many books can do that for me."
