,PairID,SentencePair
87,f_pp_177,"['I am not sure if you need saxophone or piano music.', 'Not sure if you needed sax or piano music, anyway.']"
88,f_pp_178,"['What was that intended to accomplish?', 'What was the point of that??']"
89,f_pp_179,"['My number is lost. May I have yours?', 'lost my number,can i get yours!']"
90,f_pp_18,"[""My apologizes, but I can't assist with that request."", 'sorry...cant help u with that one!!!!!']"
91,f_pp_180,"['Brother, that is the sound of you being amazing!', 'Brother, that is the sound of YOU ROCKING!']"
92,f_pp_181,"['They are a premiere band and my favorite song of theirs in Brain Stew.', 'they are the best band in the whole world, though brain stew is my favorite song.']"
93,f_pp_182,"['Who asked if you ever had a girlfriend?', 'then when asked have you ever even had a girlfriend, dude?']"
94,f_pp_183,"['That last answer should help, not that one, the one above it.', 'yep, the last answer should work :) no, not that one, the one above it :)']"
95,f_pp_184,"['Stay calm and things should go smoothly', 'just stay calm about it and hopefully everything will go smoothly.']"
96,f_pp_185,"['It is not easy, but it is well worth it.', 'Definately is not easy, but is well worth it!']"
97,f_pp_186,"['Not any more than any other female.', 'No more than any other girl !']"
98,f_pp_187,"['I suggest you watch all of it again.', ""why don't you watch it all over again.""]"
99,f_pp_188,"['It depends on where they are.', 'depends on where the piercings are']"
100,f_pp_189,"['You have nothing to lose.', 'what do you have to lose ??']"
101,f_pp_19,"['A great picture of what you are searching for can be found at ""http://flickr.com/photos/rexblog/122240680/"".', 'flickr.com/photos/rexblog/122240680/ there is a great picture of it there.....good luck']"
102,f_pp_190,"[""I definitely believe that there is a 'special someone' for everyone!"", ""I think their is a 'special someone' for everyone!""]"
103,f_pp_191,"['Keep searching in different areas. There are decent, enjoyable women out there.', 'keep looking in different places, there are decent, fun, women out there...']"
104,f_pp_192,"['After you dialed one digit, you are showing attention deficit disorder.', 'after you dialed one digit your A.D.D.']"
105,f_pp_193,"['Why do they say that liberal homosexuals like Barbara Streisand?', 'why are liberal homos suppose to like a barbra streisand??']"
106,f_pp_194,"['I think Taylor is really cute, but I hate his voice.', 'I think Taylor is SUPER cute...but I hate his voice.']"
107,f_pp_195,"['That is why we are all here answering queries.', 'yes but thats why we are all here answering questions.']"
108,f_pp_196,"['I think Spongebob is hilarious, so does my 30 year old brother, he watches it all of the time.', 'spongebob is so funny my 30 year brother still watches it and all of the episodes r soooooooooooooooooooooooooooooooooooooooooooo funny']"
109,f_pp_197,"['It depends, do you really want to meet him?', 'it depends if you really want to meet him.']"
110,f_pp_198,"['It was a good story.', 'i thought it was a good story.']"
111,f_pp_199,"['Guys can be weird. I should know.', 'Guys can be wierd; I should know.']"
112,f_pp_2,"['I deny your request, and I do so with surety and confidence.', ""I can succesfully say No you can't.""]"
113,f_pp_20,"['People like and desire the unattainable.', ""People like and want what they can't have.""]"
114,f_pp_200,"['Okay, well first off, do not ever be nervous around her, even if she things it is adorable.', ""Okay well first off don't ever be nervous around her, even if she thinks it's adorable.""]"
115,f_pp_201,"['Coldplay is becoming popular really quickly.', 'coldplay is really coming up fast!']"
116,f_pp_202,"['It is still up in the air.', 'it is still a toss up..']"
117,f_pp_203,"['I am not certain whether he feels ""good riddance,"" or whether he still portrays affection for me.', ""im not sure whether he feels 'good riddance' or whether he still cares for me.""]"
118,f_pp_204,"[""Of course Jay-Z ignored the law and got busted. Of course he makes so much money he didn't care."", ""Of course Jay-Z ignored this rule, got busted, and made so much money anyway he didn't need to care.""]"
119,f_pp_205,"['Someone smart and not so smart.', 'Some smart some not so smart.']"
120,f_pp_206,"['He is a great player, though I am a Lions fan and prefer Brett Favre.', 'He is a dream player...I am a Lions fan and OMG give us Brett Favre!']"
121,f_pp_207,"['I had a nervous stomach because he frightened me.', 'I had butterflies in my stomach b/c he scared me.']"
122,f_pp_208,"['Especially if you really like him and know he is shy.', ""especially if you really like him and know he's shy.""]"
123,f_pp_209,"['For Halloween I wore red eyes and pink hair Lol!', 'i like red eyes and pink hair hehe']"
124,f_pp_21,"['I have some ideas, but what are some of yours?', ""idk... i've got a general idea, i just wanna know what you guys know""]"
125,f_pp_210,"['Rock musicians have a wonderful sense of music.', 'rocker have a great sense of music.']"
126,f_pp_211,"['Why not stop talking and get a life.', 'How about not talking and getting a life !']"
127,f_pp_212,"['Please let me know if you find out who sings this song.', '(ends) if you find out who sings it and the name, please let me know.']"
128,f_pp_213,"['I need more help buddy.', 'Hmm... need more help there buddy.']"
129,f_pp_214,"['Wow, those shoes are hot; I have the famous shoes with the topless woman on them.', ""Dude, Those are Sum Pimpn' Shoez, I have the FAMOUS Shoes With The Topless Chik On Them.""]"
130,f_pp_215,"['Be yourself, show them you care for them.', 'be yourself bro and show them you like and care for them.']"
131,f_pp_216,"['Why is is that younger men like older women?', ""Why don't young men like older women?""]"
132,f_pp_217,"['Michael Jackson once told a knock knock joke.', 'heres a michael jackson one: knock knock whos there?']"
133,f_pp_218,"['Matthew McConaughey, and I am not even gay.', 'matthew mcchanughey.. and i aint even gay!']"
134,f_pp_219,"['You guys will then trust each other more and be able to talk openly.', 'and you guys will trust each other more and talk about everything more openly.']"
135,f_pp_22,"['Why did she call him instead of the other way around?', 'I dont get him I thought guys were supposed to call girls.']"
136,f_pp_220,"['I believe it could have been more dramatic.', 'I think it could have been more dramatic!']"
137,f_pp_221,"['Sometimes, you may stay hard for too long.', 'sometimes u will stay hard for to long.']"
138,f_pp_222,"['It that happens, just pull the plug.', 'if that ever happens, just pull the plug.']"
139,f_pp_223,"['In a hard situation, best of luck.', 'Best of luck - not an easy situation.']"
140,f_pp_224,"['You will just end up hurting her but you would not feel it with a pornstar.', 'you will just end up hurting a virgin and you wont even feel it with a pornstar.']"
141,f_pp_225,"['Do not believe this guy for an instant.', ""Don't believe this guy for an instant.""]"
142,f_pp_226,"['I used to watch that show all the time!', 'I use to watch ALL the time, loved that show!']"
143,f_pp_227,"[""I'm more comfortable when it is raining."", ""i'm actually more comfortable when it's raining.""]"
144,f_pp_228,"['On the left side, below the big squares, I wish you luck.', '(left side, below the big squares) *Good Luck*']"
145,f_pp_229,"['The first time I gazed upon his green eyes!', 'the first time I saw his green eyes!']"
146,f_pp_23,"[""I advise that you don't try too hard to find her because she may take it the wrong way."", 'look for her but not too hard cuz it will scare us away']"
147,f_pp_230,"['We like 24 and Lost because it is action-packed.', 'Same reason we like 24 and Lost: FULL OF ACTION!']"
148,f_pp_231,"['Why have you not yet told them?', ""Why haven't you told them yet?""]"
149,f_pp_232,"['He claims to desire a pair of sunglasses.', 'He says he wants a pair of sunglasses!']"
150,f_pp_233,"['You might find out later, that you lost the perfect one.', 'u might find out later you lost the perfect one.']"
151,f_pp_234,"[""I mean, it's great to stay intact with your inner child, but this is pathetic."", 'i mean its great to stay intact with your inner child but this is patheitc.']"
152,f_pp_235,"['There is nothing good about seeing people die.', 'there is nothing cool in seeing people dying.']"
153,f_pp_236,"['Then you can call anywhere you want.', 'then presto you can call anywhere you want.']"
154,f_pp_237,"['How should I get recognized?', 'how the heck should i get recognized?']"
155,f_pp_238,"['Take him aside and tell him how you truly feel.', 'take him aside and tell him how u truly feel']"
156,f_pp_239,"['Ask a plastic surgeon if it is possible to make one.', 'ask a plastic surgeon to make one for you.']"
157,f_pp_24,"['Just tell them you are sorry and leave with the other people.', 'just say srry and go off with some other ppl.']"
158,f_pp_240,"['Yes, I am a girl and I like video games.', 'and yes i am a girl who likes video games.']"
159,f_pp_241,"['Johnny is a bad actor, but it is a nightmare when he dies.', 'nightmare because johnny dies, he is such a BAD actor!']"
160,f_pp_242,"['He tends to nap most days!', 'he tends to nap at them most days!']"
161,f_pp_243,"['Make yourself happy before anyone else!', 'Make urself happy before anyone else!']"
162,f_pp_244,"['The wedding is in April. The colors are lavender and white, with fresh cut flowers in huge vases on the head table.', 'colors lavendar/white wedding in april fresh cut flowers in huge vases on head table.']"
163,f_pp_245,"['Seriously, do not get the toothpaste.', 'serisly do not the toothpaste get dr. skip']"
164,f_pp_246,"['You can search for it at the following websites: allposters.com, ebay.com or yahoo.com.', 'allposters.com ebay.com just do a search on yahoooooooooooooooooooooooo']"
165,f_pp_247,"['I thought that he was going to marry Julia, but he married cameron.', 'i thought he was going to marry Julia but he stayed with his guts and married cameron']"
166,f_pp_248,"['Is your girlfriend there permanently?', 'But is your girlfriend there to stay?']"
167,f_pp_249,"[""I don't know, sorry but she has got a great voice and my favorite song by her is Breakaway."", 'i dunno sorry but she has got a great voice and my favorite song by her is breakaway']"
168,f_pp_25,"['I fail to understand the difficulty.', ""I don't see what the problem is.""]"
169,f_pp_250,"['My best friend and I conected instantly.', 'but me and my best friend... it was like instantly']"
170,f_pp_251,"['Regardless of what happens you should be happy.', ':) You should be happy regardless.']"
171,f_pp_252,"['Aside from people such as George Bush and Tony Blair who possess the ability to destroy the planet using nuclear weapons.', 'apart from people like Tony Blair & George Bush hu kill the planet best with nuclear wepons etc...!']"
172,f_pp_253,"['MULLINSKY IS A FALL GUY, HE TAKES LOTS OF RISKS AND HAS A LOT OF MONEY', 'Lots of money, often with lots of risks Mullinsky - A fall guy.']"
173,f_pp_254,"['You can dig around the internet.', 'YOU CAN DIG AROUND INTERNET MOVIE DATABASE.']"
174,f_pp_255,"['The four year old in your trunk.', 'The 4 Year old in your trunk']"
175,f_pp_256,"['I was supposed to go to the movies and go-kart racing on my prom night.', 'on my prom night i was supposed to go to the movies and go go kart racing!']"
176,f_pp_257,"['Their address is: 47483 Conneticut Dr, Nashville.', 'they live on 47483 conneticuit drive in nashville']"
177,f_pp_258,"['I would love to hear Eyes on Me by Faye Wong, please put it on.', 'Eyes on Me, Faye Wong, now!']"
178,f_pp_259,"['Because Pittsburgh is wonderful and everyone wishes they could live there.', 'because pittsburgh is awesome and everyone wishes they lived there!']"
179,f_pp_26,"['You must develop trust by learning about her, and then you can develop a relationship.', 'if u want a relationship with her then u have to get to know her...thats where trust comes in.']"
180,f_pp_260,"[""No I haven't had any dreams similar to that."", ""hmm nope haven't had any dreams like that before""]"
181,f_pp_261,"['i would rather do it with someone else grandma!!!', 'no but i would with someone elses grandma!!']"
182,f_pp_262,"['You already made your decision.', ""you already made your decision....it's over.""]"
183,f_pp_263,"['To answer your question, any big city. Just ask a cab driver.', 'To answer your question, any big city.................just ask a cab driver.']"
184,f_pp_264,"['I like Kelly Clarkson the best.', 'i like both but i would have to pick kelly clarkson']"
185,f_pp_265,"['I wanted to see how people would react.', 'in because i wanted to see how people would react.']"
186,f_pp_266,"['Also, men mature later then women.', 'Also, men mature later than woman.']"
187,f_pp_267,"['The blind man said, ""I see,"" as he picked up his hammer and saw.', 'I see, said the blind man, as he picked up his hammer and saw.']"
188,f_pp_268,"[""I'm black and found it funny."", ""I'm black and found it hilariously funny!!!""]"
189,f_pp_269,"['You try to forget everything good, and remember everything bad.', 'you just try to forget everything good, and remember everything bad.']"
190,f_pp_27,"['Try getting him intoxicated before you decide.', 'Get him drunk and see what he is like.']"
191,f_pp_270,"[""John Schneider has aged gracefully, I loved him on the show 'Dukes of Hazzard!'"", 'John Schneider has aged very well...i loved him on The Dukes of Hazzard!']"
192,f_pp_271,"[""One shouldn't date at 12 years old."", ""12 year olds shouldn't be dating.""]"
193,f_pp_272,"['A good website to resell your books is half.com.', 'half.com is a great website to sell your books!']"
194,f_pp_273,"['The second answer was I just went to the toilet and I got a Tampax.', 'the 2nd answer was : i just went to the toilet and i got a tampax.']"
195,f_pp_274,"['Do nt feel bad. My son is 31 and still single.', 'Dont feel bad, my son is 31 and still single.']"
196,f_pp_275,"['Tell her what your hopes and dream are for both of you in the futures.', 'Tell her what your hopes and dreams are for the two of you in the future.']"
197,f_pp_276,"['The mess is between the two of them.', 'after all, the mess is between the two of them.']"
198,f_pp_277,"[""No, I really didn't want New York to win."", ""No i didn't want New york to win""]"
199,f_pp_278,"['That would be the one about outer space and saving the queen.', 'The one in outer space... -Save the queen!']"
200,f_pp_279,"['I read somewhere, a new movie will be coming out 2008, or next year.', 'i read somewhere a new movie will be coming out next year or 2008.']"
201,f_pp_28,"['Once a man is unfaithful, they will always be unfaithful.', 'Once a cheater, always a cheater.']"
202,f_pp_280,"['We had a great time in Vegas!', 'We had a blast in Vegas!']"
203,f_pp_281,"['However, by purposefully hiding this it becomes unfriendly!', 'But by purposely hiding this was UNFRIENDLY!']"
204,f_pp_282,"['Keifer performed well as Jack Bauer.', 'Yeah, Keifer does a great job as Jack Bauer!!']"
205,f_pp_283,"['I enjoy when the Underdog wins.', 'I like when the underdog wins.']"
206,f_pp_284,"[""The devil's going to rip you a new lifestyle every time, lol."", "":) The devil's going to rip you a new lifestyle, everytime.""]"
207,f_pp_285,"[""It's going to happen, young jock."", 'young jock - its going down.']"
208,f_pp_286,"['If you know the third 1/18; please share it with me!', 'if you know the third 1/18, PLEASE share with me!!!']"
209,f_pp_287,"['Judas Priest Turbo Lover has just the right rhythm and sound for the occasion.', 'Judas Priest Turbo Lover, has the groove & rythym just for the occasion']"
210,f_pp_288,"['However, that had already been said.', 'But that had already been said.']"
211,f_pp_289,"['Give Palmela and her five sisters a phone call.', 'Call up Palmela and her five sisters.']"
212,f_pp_29,"['It is just not what I am interested in.', ""it's just not my cup of tea""]"
213,f_pp_290,"['I disagree, I love ER and Wildfire!', 'No, I love ER.. and Wildfire!']"
214,f_pp_291,"['South Park Mexican (SPM) is not a group, rather he is a rapper from Houston.', 'spm is not a group its a rapper south park mexican hes from houston']"
215,f_pp_292,"['Flowers, normally roses, and a box of candy.', 'flowers normally roses and a thing of candy!']"
216,f_pp_293,"['I think it is called After Dark by Tito and Tarantula.', 'I think it is After Dark - Tito & Tarantula.']"
217,f_pp_294,"[""It's leo's and I don't like leo."", ""it's leo's.......... :( i hate leo.""]"
218,f_pp_295,"['Living On A Prayer."" Bon Jovi', 'Livin On A Prayer Bon Jovi']"
219,f_pp_296,"[""Well, here's a slipknot site www.Pulseofthemaggots.com."", 'um well here is a slipknot site www.pulseofthemaggots.com !!']"
220,f_pp_297,"['Zac Efron is the hottest guy ever.', 'And Zac Efron is the hottest guy ever!!!!!OMG!!!!!']"
221,f_pp_298,"['Wedding Crashers and the 40 year old virgin.', 'Wedding Crashers and 40 Year-Old Virgin.']"
222,f_pp_299,"['I like Sinatra for classical performances and Buble for revivals.', 'Sinatra for classics and Buble for revivals...']"
223,f_pp_3,"['Men will love when you dress up.', 'wear a kinky bunny suit guys love it tell me what happened vol_fan_raybaby@yahoo.com']"
224,f_pp_30,"['Why is it that you like anyone who you know at all?', 'hey, how come that u like someone that know you at all??']"
225,f_pp_31,"['Love strikes when you are least looking for it.', 'you will find love eventually you just have to look for it.']"
226,f_pp_32,"['Think more strongly about how to determine what you want to do.', 'what you got to do is set your mind back to the right path.']"
227,f_pp_33,"['That would be affirmative for me. I was greatly pleased with the first one.', 'I am I really loved the first one!']"
228,f_pp_34,"['I do not believe so; you will have to decide.', 'not really, you have to be the judge']"
229,f_pp_35,"['Please help me. Also, respond genuinely, as this is very serious to me.', 'pls help me... PS: give me geniune replies...this is very much serious to me.']"
230,f_pp_36,"['Be amicable until the situation improves, since you do not want to end it prematurely.', 'just be nice until things get better---u dont want to call it off too soon']"
231,f_pp_37,"['Disreputable men, disreputable men. What are you going to do? What are you going to do when they come for you?', '(Chorus) Bad boys, bad boys, whatcha gonna do, whatcha gonna do when they come for you.']"
232,f_pp_38,"['By waiting it out, it will all work out in the end.', ""it'll be ok. just wait it out.""]"
233,f_pp_39,"['I do not think it matters what your race is.', 'i dont think it matters if your white, black, purple, yellow, etc.']"
234,f_pp_4,"['The man began a count, 1 and 2, then suddenly let out an ""ARR"" shrieking sound.', 'So the man starts 1....2... ARRRRRR he screams.']"
235,f_pp_40,"[""I wouldn't not be the appropriate person to give that advice, I am a virgin."", 'and anyway, im not the person to ask im a virgin.']"
236,f_pp_41,"['I do not mean to offend, however these girls are representative of the type I strongly dislike.', 'I am sorry but these are the kind of girls i hate!!!']"
237,f_pp_42,"['You must not be serious. It seems very obvious that she uses drugs.', 'are you kidding...there is no way she DOESNT do drugs']"
238,f_pp_43,"['You may be getting taken advantage of no matter what you do.', 'pretty much ur getting ripped off no matter what']"
239,f_pp_44,"['She sometimes photoshops her pictures, but not always.', 'sometimes her pics are photoshopped, sometimes not hehe']"
240,f_pp_45,"['Make him aware of how much you miss him and apologize while admitting you were mistaken.', 'well just aplogize and tel him u miss him and u made a big mistake']"
241,f_pp_46,"['We did not get to know each other before.', ""didn't get to know eachother before hand.""]"
242,f_pp_47,"['Because young men who get in trouble are more attractive and girls are drawn to them.', 'because badboys.. are more like eye candy.. us girls cant get enough.']"
243,f_pp_48,"['It is obvious that many people do that.', 'but apparently a lot of people do.']"
244,f_pp_49,"['Do your best to deal with the situation.', 'show your best efforts to put up with it !']"
245,f_pp_5,"['Are you not able to validate it?', ""why can't you see for yourself?""]"
246,f_pp_50,"['I feel sad watching the others play without you.It', ""It's just so sad to see others able to play and not you!""]"
247,f_pp_51,"['You should have respect for your mother.', 'Even if this is your own mother!']"
248,f_pp_52,"['We are not boring. Trust me.', "": ) We're not boring...trust me.""]"
249,f_pp_53,"['Dozens of software applications perform that function.', 'there are dozens of softwares that does that']"
250,f_pp_54,"['Frankly, they are obligated to reinstate the previous one.', 'they really do need to put the old one back on.']"
251,f_pp_55,"['This task requires a long period of time to accomplish if you practice.', 'ummm.. i started but it takes a long time depending on how much you practice....']"
252,f_pp_56,"['You can be shy, but you can also speak your mind whenever necessary.', 'Be shy, but speak ur mind wen u feel u should.']"
253,f_pp_57,"['Why did you not simply look it up on the internet?', ""Why didn't you just look that up?""]"
254,f_pp_58,"['If it is important and not for stalkers.', 'If its incredibly important & not for fan stalking little girl crazed fan.']"
255,f_pp_59,"['I am convinced that you will have a girl.', 'It definitely will be a girl for sure!']"
256,f_pp_6,"['I am unsure, because I was nearly fourteen years old, versus being almost fifteen.', 'i was 13 going on 14 instead of 14 going on 15. :-) i dont know.']"
257,f_pp_60,"['It is because of the way the man says ""S"". It makes me uncomfortable.', ""it's because of how the guy says his ss....uggghhh, it makes me cringe.""]"
