,SentencePair,PairID,SubsetID,SourceID
22,"['Just say, ""I just want to now! Do you like me as a friend, or something more?', 'just say i just want to now!Do u like me as a friend or something more?']",Formality_pp_118,Formality_pp,Formality
23,"['If he is good looking and has a good personality, he might be straight - but is more likely bisexual.', ""If he's good looking, and a good personality, he MIGHT be straight, but more likely bi.""]",Formality_pp_119,Formality_pp,Formality
24,"['Invite her to your home and watch a pornographic movie together.', 'invite her over and pop in a porno']",Formality_pp_12,Formality_pp,Formality
25,"['The basis of Journalism 101 taught on the first day is ""if it bleeds, it leads,"" which is unfortunately true.', 'journalism 101--first day if it bleeds, it leads sad, but true']",Formality_pp_120,Formality_pp,Formality
26,"[""If she mentioned that she just wants to be friends, then it's too late."", 'If she has said she just wants to be friends it is already too late.']",Formality_pp_121,Formality_pp,Formality
27,"['The bench warmers were having macaroni and cheese. (I understand I messed up that line).', 'benchwarmers as well aww yes were having macaroni and cheese awsome(i know i butchered that line but oh well)']",Formality_pp_122,Formality_pp,Formality
28,"['Your parents do not have to like your boyfriend, you do.', 'your parents dont have to like your bf, you do.']",Formality_pp_123,Formality_pp,Formality
29,"['Maybe because they just do not have any sense and do not realize what they have until it is gone.', ""maybe because they just don't have any since and don'T REALIZE WHAT THEY HAVE UNTIL THERE GONE!!!!!!!!!!!!!""]",Formality_pp_124,Formality_pp,Formality
30,"['There is no blood relation, so it is not like he is your blood brother.', 'well theres no blood relation so no its nto like he is your blood brother']",Formality_pp_125,Formality_pp,Formality
31,"['No, of course not, but if your husband or wife caught you then it is.', 'No ofcourse, But if your husband/wife caught you then it is.. lol']",Formality_pp_126,Formality_pp,Formality
32,"['I would like to hear your side of the story.', 'i want to hear ur side']",Formality_pp_127,Formality_pp,Formality
33,"['I will need and picture and information first, such as who you are.', 'i need pic first and info who are you?']",Formality_pp_128,Formality_pp,Formality
34,"['None of her fans do, why?', 'just enjoy her music, but non of her fans, why?']",Formality_pp_129,Formality_pp,Formality
35,"['I wish to discern whether or not he is a good fit for your positive physical and intellectual qualities.', '!I wanna see if he is THE BEST MATCH FOR UR BEAUTY N INTELLIGENCE!!']",Formality_pp_13,Formality_pp,Formality
36,"['It is a big world out there and you just need to jump back in there!', ""It's a big world out there and it's waiting for you to jump back in better than ever before!""]",Formality_pp_130,Formality_pp,Formality
37,"['Your questions do not make any sence.', 'your questions dont make no sense!!!!!!']",Formality_pp_131,Formality_pp,Formality
38,"['As you can barely sing or talk, I have little faith in your writing skills.', 'ne yo can barely sing or talk never mind write.']",Formality_pp_132,Formality_pp,Formality
39,"['I do not know anything about her father', 'I dont know about her father.']",Formality_pp_133,Formality_pp,Formality
40,"['Get every known answer to man.', 'to,and get every known answewr to man.']",Formality_pp_134,Formality_pp,Formality
41,"['One of a Kind is a good song.', ""'One Of A Kind' by Breaking Point.""]",Formality_pp_135,Formality_pp,Formality
42,"['When I tried again, I was able to juggle.', 'When i went back to it, i was able to juggle!']",Formality_pp_136,Formality_pp,Formality
43,"['Something that demonstrates your love for them.', 'something that show you love them']",Formality_pp_137,Formality_pp,Formality
44,"[""It enjoy them talking real fast. It's funny."", 'It like they talk real fast allt he time and its funny']",Formality_pp_138,Formality_pp,Formality
45,"['I can not see it myself, but I have had quite a few people say it now.', ""I can't see it myself but i've had quite a few people say it now.""]",Formality_pp_139,Formality_pp,Formality
46,"['It is due to them not truly being in love with you.', ""Because they really don't love you.""]",Formality_pp_14,Formality_pp,Formality
47,"[""Aren't there enough problems in this world already?"", 'are there not enough problems with this world?']",Formality_pp_140,Formality_pp,Formality
48,"['It might be genetic or he might like dark colored make-up on his nose.', 'maybe its genetic...or maybe he likes dark makeup on his nose!!!']",Formality_pp_141,Formality_pp,Formality
49,"['The only thing that you can tell by his looks, is that he is hot amd that you want him!', 'the only thing you can tell by looking at him is if hes hot and you want him!!!!']",Formality_pp_142,Formality_pp,Formality
50,"['I very much enjoy Billy Talent. They are one of my favorite groups.', 'I just love Billy Talent, they are one of my favourites.']",Formality_pp_143,Formality_pp,Formality
51,"['I have no clue as to why people are giving rude answers.', ""i don't know why all the people keep giving rude answers.""]",Formality_pp_144,Formality_pp,Formality
52,"['Possibly it is similar to flying - you throw yourself at the ground and miss.', ""Maybe it's like flying...you throw yourself at the ground and miss.""]",Formality_pp_145,Formality_pp,Formality
53,"['I missed it as well because I was working.', 'I was working, so I missed it too.']",Formality_pp_146,Formality_pp,Formality
54,"['You need to get an agent and make sure you get paid before paying anyone else.', ""Get an agent...and don't pay anyone until you get paid.""]",Formality_pp_147,Formality_pp,Formality
55,"['I like that song if it is the right song.', ""I LIKE THAT SONG IF IT'S THE RIGHT SONG ;)""]",Formality_pp_148,Formality_pp,Formality
56,"['I loved it and it was a really good movie.', 'i loved it is was a realy good movie.']",Formality_pp_149,Formality_pp,Formality
57,"['What do think his motive is?', 'Why would you even think he is going to?']",Formality_pp_15,Formality_pp,Formality
58,"['Dragon Ball Z I believe is downloadable. Go to the portion when Goku is small. I think I spelled his name correctly.', 'Dragon Ball Z I think Is DB gt when goku (I think I spelled his name right) is small?']",Formality_pp_150,Formality_pp,Formality
59,"['I know you hesitantly want an affirmative response; you should.', 'i know you kind of want a yes, you should.']",Formality_pp_151,Formality_pp,Formality
60,"['It is my cousins, with whom I live.', 'my cousins with who I live']",Formality_pp_152,Formality_pp,Formality
61,"['Would you like to see a movie with me on Friday?', 'i was wondering if you wanted to go see a movie with me on friday?']",Formality_pp_153,Formality_pp,Formality
62,"['That song will be played by guys to their girl friends.', 'And guys will play that song for their girlfriend or something.']",Formality_pp_154,Formality_pp,Formality
63,"['Click on the Media Player, then start ripping stuff from the disk. Let it finish and you are done.', 'MEADIA PLAYER CLICK IT START RIPING STUFF OUT OF DA DISK YOR R DONE LET IT FINSH !!!']",Formality_pp_155,Formality_pp,Formality
64,"['If you make her feel comfortable, then she will like you.', 'So u make her feel comfortable then she will like u.']",Formality_pp_156,Formality_pp,Formality
65,"['Similar to how I alphabetize my CD collection, certain things have to be done in a particular way.', 'Like I alphabetize my CD collection and certain things have to be just so.']",Formality_pp_157,Formality_pp,Formality
66,"['What other programs have you watched on the SciFi station. I have not watched the other station. What is the channel number?', 'and what else have you watched on scifi i havent watched the other station what channel is it on?']",Formality_pp_158,Formality_pp,Formality
67,"['To borrow a phrase from Holden Caufield, ""phonies"".', 'Taking a word from Holden Caulfield here...Phonies']",Formality_pp_159,Formality_pp,Formality
68,"['I like Tess but Jessica is too much of a goody-goody!', 'I like Tess,Jessica is to goody goody!']",Formality_pp_16,Formality_pp,Formality
69,"['No, I apologize; all I know is that it was a good movie.', 'no, sry, all i know was that it was a good movie']",Formality_pp_160,Formality_pp,Formality
70,"['Best of luck completing your task. If you get the answer right, you can earn 5 more points.', 'Good Luck and it would be worth another 5 points if you get your answer right?']",Formality_pp_161,Formality_pp,Formality
71,"['It is great! Take a look at my question.', 'it rocks take a look at my question']",Formality_pp_162,Formality_pp,Formality
72,"['You are too young to date or be in love.', 'To young to date or be in love!']",Formality_pp_163,Formality_pp,Formality
73,"['I will review the script.', 'sure i will read ur film script!']",Formality_pp_164,Formality_pp,Formality
74,"['If you do not comply it has problems written all over it.', ""if you don't then that just has problems written all over it.""]",Formality_pp_165,Formality_pp,Formality
75,"['How can I go about winning her back?', 'How do i win her back?']",Formality_pp_166,Formality_pp,Formality
76,"['I hae no problems with them.', 'lol i have no problems with them.']",Formality_pp_167,Formality_pp,Formality
77,"[""Why don't they ask you out?"", ""Why don't they move to be with you??""]",Formality_pp_168,Formality_pp,Formality
78,"['Yes I remember that it was very good.', 'Yea I remember it..it was pretty good']",Formality_pp_169,Formality_pp,Formality
79,"['I recommend that you and three friends who are women book an on-line cruise, because you will enjoy it.', 'So go get 3 of your best gal pals get on line and book a cruise...you will love it!']",Formality_pp_17,Formality_pp,Formality
80,"['You ought to begin your life anew.', 'you should start your life a new.']",Formality_pp_170,Formality_pp,Formality
81,"['Put the truck in reverse a little bit.', 'Back up the truck a bit.']",Formality_pp_171,Formality_pp,Formality
82,"[""I don't know why Kareena is with such an unattractive person like him."", 'i dont knw why kareena is with a fugly kid like him !..']",Formality_pp_172,Formality_pp,Formality
83,"['If they ask for money, tell them no. No agent should be paid until you have received the work.', '(if they ask for money, you say no.... no agent gets paid until you have gotten work.']",Formality_pp_173,Formality_pp,Formality
84,"['She does not hate you, she is just annoyed with you.', ""She doesn't hate you, she is just annoyed.""]",Formality_pp_174,Formality_pp,Formality
85,"['To retrieve lines, I suggest you go to www.rapbattles.com.', 'go to www.rapbattles.com that is a good website to get lines']",Formality_pp_175,Formality_pp,Formality
86,"['I have to go and get my shoulder blades worked on, we will talk soon.', ""Now..........I have to go have my shoulder blades worked on.......we'll talk soon.""]",Formality_pp_176,Formality_pp,Formality
87,"['I am not sure if you need saxophone or piano music.', 'Not sure if you needed sax or piano music, anyway.']",Formality_pp_177,Formality_pp,Formality
88,"['What was that intended to accomplish?', 'What was the point of that??']",Formality_pp_178,Formality_pp,Formality
89,"['My number is lost. May I have yours?', 'lost my number,can i get yours!']",Formality_pp_179,Formality_pp,Formality
90,"[""My apologizes, but I can't assist with that request."", 'sorry...cant help u with that one!!!!!']",Formality_pp_18,Formality_pp,Formality
91,"['Brother, that is the sound of you being amazing!', 'Brother, that is the sound of YOU ROCKING!']",Formality_pp_180,Formality_pp,Formality
92,"['They are a premiere band and my favorite song of theirs in Brain Stew.', 'they are the best band in the whole world, though brain stew is my favorite song.']",Formality_pp_181,Formality_pp,Formality
93,"['Who asked if you ever had a girlfriend?', 'then when asked have you ever even had a girlfriend, dude?']",Formality_pp_182,Formality_pp,Formality
94,"['That last answer should help, not that one, the one above it.', 'yep, the last answer should work :) no, not that one, the one above it :)']",Formality_pp_183,Formality_pp,Formality
95,"['Stay calm and things should go smoothly', 'just stay calm about it and hopefully everything will go smoothly.']",Formality_pp_184,Formality_pp,Formality
96,"['It is not easy, but it is well worth it.', 'Definately is not easy, but is well worth it!']",Formality_pp_185,Formality_pp,Formality
97,"['Not any more than any other female.', 'No more than any other girl !']",Formality_pp_186,Formality_pp,Formality
98,"['I suggest you watch all of it again.', ""why don't you watch it all over again.""]",Formality_pp_187,Formality_pp,Formality
99,"['It depends on where they are.', 'depends on where the piercings are']",Formality_pp_188,Formality_pp,Formality
100,"['You have nothing to lose.', 'what do you have to lose ??']",Formality_pp_189,Formality_pp,Formality
101,"['A great picture of what you are searching for can be found at ""http://flickr.com/photos/rexblog/122240680/"".', 'flickr.com/photos/rexblog/122240680/ there is a great picture of it there.....good luck']",Formality_pp_19,Formality_pp,Formality
102,"[""I definitely believe that there is a 'special someone' for everyone!"", ""I think their is a 'special someone' for everyone!""]",Formality_pp_190,Formality_pp,Formality
103,"['Keep searching in different areas. There are decent, enjoyable women out there.', 'keep looking in different places, there are decent, fun, women out there...']",Formality_pp_191,Formality_pp,Formality
104,"['After you dialed one digit, you are showing attention deficit disorder.', 'after you dialed one digit your A.D.D.']",Formality_pp_192,Formality_pp,Formality
105,"['Why do they say that liberal homosexuals like Barbara Streisand?', 'why are liberal homos suppose to like a barbra streisand??']",Formality_pp_193,Formality_pp,Formality
106,"['I think Taylor is really cute, but I hate his voice.', 'I think Taylor is SUPER cute...but I hate his voice.']",Formality_pp_194,Formality_pp,Formality
107,"['That is why we are all here answering queries.', 'yes but thats why we are all here answering questions.']",Formality_pp_195,Formality_pp,Formality
108,"['I think Spongebob is hilarious, so does my 30 year old brother, he watches it all of the time.', 'spongebob is so funny my 30 year brother still watches it and all of the episodes r soooooooooooooooooooooooooooooooooooooooooooo funny']",Formality_pp_196,Formality_pp,Formality
109,"['It depends, do you really want to meet him?', 'it depends if you really want to meet him.']",Formality_pp_197,Formality_pp,Formality
110,"['It was a good story.', 'i thought it was a good story.']",Formality_pp_198,Formality_pp,Formality
111,"['Guys can be weird. I should know.', 'Guys can be wierd; I should know.']",Formality_pp_199,Formality_pp,Formality
112,"['I deny your request, and I do so with surety and confidence.', ""I can succesfully say No you can't.""]",Formality_pp_2,Formality_pp,Formality
113,"['People like and desire the unattainable.', ""People like and want what they can't have.""]",Formality_pp_20,Formality_pp,Formality
114,"['Okay, well first off, do not ever be nervous around her, even if she things it is adorable.', ""Okay well first off don't ever be nervous around her, even if she thinks it's adorable.""]",Formality_pp_200,Formality_pp,Formality
115,"['Coldplay is becoming popular really quickly.', 'coldplay is really coming up fast!']",Formality_pp_201,Formality_pp,Formality
116,"['It is still up in the air.', 'it is still a toss up..']",Formality_pp_202,Formality_pp,Formality
117,"['I am not certain whether he feels ""good riddance,"" or whether he still portrays affection for me.', ""im not sure whether he feels 'good riddance' or whether he still cares for me.""]",Formality_pp_203,Formality_pp,Formality
118,"[""Of course Jay-Z ignored the law and got busted. Of course he makes so much money he didn't care."", ""Of course Jay-Z ignored this rule, got busted, and made so much money anyway he didn't need to care.""]",Formality_pp_204,Formality_pp,Formality
119,"['Someone smart and not so smart.', 'Some smart some not so smart.']",Formality_pp_205,Formality_pp,Formality
120,"['He is a great player, though I am a Lions fan and prefer Brett Favre.', 'He is a dream player...I am a Lions fan and OMG give us Brett Favre!']",Formality_pp_206,Formality_pp,Formality
121,"['I had a nervous stomach because he frightened me.', 'I had butterflies in my stomach b/c he scared me.']",Formality_pp_207,Formality_pp,Formality
122,"['Especially if you really like him and know he is shy.', ""especially if you really like him and know he's shy.""]",Formality_pp_208,Formality_pp,Formality
123,"['For Halloween I wore red eyes and pink hair Lol!', 'i like red eyes and pink hair hehe']",Formality_pp_209,Formality_pp,Formality
124,"['I have some ideas, but what are some of yours?', ""idk... i've got a general idea, i just wanna know what you guys know""]",Formality_pp_21,Formality_pp,Formality
125,"['Rock musicians have a wonderful sense of music.', 'rocker have a great sense of music.']",Formality_pp_210,Formality_pp,Formality
126,"['Why not stop talking and get a life.', 'How about not talking and getting a life !']",Formality_pp_211,Formality_pp,Formality
127,"['Please let me know if you find out who sings this song.', '(ends) if you find out who sings it and the name, please let me know.']",Formality_pp_212,Formality_pp,Formality
128,"['I need more help buddy.', 'Hmm... need more help there buddy.']",Formality_pp_213,Formality_pp,Formality
129,"['Wow, those shoes are hot; I have the famous shoes with the topless woman on them.', ""Dude, Those are Sum Pimpn' Shoez, I have the FAMOUS Shoes With The Topless Chik On Them.""]",Formality_pp_214,Formality_pp,Formality
130,"['Be yourself, show them you care for them.', 'be yourself bro and show them you like and care for them.']",Formality_pp_215,Formality_pp,Formality
131,"['Why is is that younger men like older women?', ""Why don't young men like older women?""]",Formality_pp_216,Formality_pp,Formality
132,"['Michael Jackson once told a knock knock joke.', 'heres a michael jackson one: knock knock whos there?']",Formality_pp_217,Formality_pp,Formality
133,"['Matthew McConaughey, and I am not even gay.', 'matthew mcchanughey.. and i aint even gay!']",Formality_pp_218,Formality_pp,Formality
134,"['You guys will then trust each other more and be able to talk openly.', 'and you guys will trust each other more and talk about everything more openly.']",Formality_pp_219,Formality_pp,Formality
135,"['Why did she call him instead of the other way around?', 'I dont get him I thought guys were supposed to call girls.']",Formality_pp_22,Formality_pp,Formality
136,"['I believe it could have been more dramatic.', 'I think it could have been more dramatic!']",Formality_pp_220,Formality_pp,Formality
137,"['Sometimes, you may stay hard for too long.', 'sometimes u will stay hard for to long.']",Formality_pp_221,Formality_pp,Formality
138,"['It that happens, just pull the plug.', 'if that ever happens, just pull the plug.']",Formality_pp_222,Formality_pp,Formality
139,"['In a hard situation, best of luck.', 'Best of luck - not an easy situation.']",Formality_pp_223,Formality_pp,Formality
140,"['You will just end up hurting her but you would not feel it with a pornstar.', 'you will just end up hurting a virgin and you wont even feel it with a pornstar.']",Formality_pp_224,Formality_pp,Formality
141,"['Do not believe this guy for an instant.', ""Don't believe this guy for an instant.""]",Formality_pp_225,Formality_pp,Formality
142,"['I used to watch that show all the time!', 'I use to watch ALL the time, loved that show!']",Formality_pp_226,Formality_pp,Formality
143,"[""I'm more comfortable when it is raining."", ""i'm actually more comfortable when it's raining.""]",Formality_pp_227,Formality_pp,Formality
144,"['On the left side, below the big squares, I wish you luck.', '(left side, below the big squares) *Good Luck*']",Formality_pp_228,Formality_pp,Formality
145,"['The first time I gazed upon his green eyes!', 'the first time I saw his green eyes!']",Formality_pp_229,Formality_pp,Formality
146,"[""I advise that you don't try too hard to find her because she may take it the wrong way."", 'look for her but not too hard cuz it will scare us away']",Formality_pp_23,Formality_pp,Formality
147,"['We like 24 and Lost because it is action-packed.', 'Same reason we like 24 and Lost: FULL OF ACTION!']",Formality_pp_230,Formality_pp,Formality
148,"['Why have you not yet told them?', ""Why haven't you told them yet?""]",Formality_pp_231,Formality_pp,Formality
149,"['He claims to desire a pair of sunglasses.', 'He says he wants a pair of sunglasses!']",Formality_pp_232,Formality_pp,Formality
150,"['You might find out later, that you lost the perfect one.', 'u might find out later you lost the perfect one.']",Formality_pp_233,Formality_pp,Formality
151,"[""I mean, it's great to stay intact with your inner child, but this is pathetic."", 'i mean its great to stay intact with your inner child but this is patheitc.']",Formality_pp_234,Formality_pp,Formality
152,"['There is nothing good about seeing people die.', 'there is nothing cool in seeing people dying.']",Formality_pp_235,Formality_pp,Formality
153,"['Then you can call anywhere you want.', 'then presto you can call anywhere you want.']",Formality_pp_236,Formality_pp,Formality
154,"['How should I get recognized?', 'how the heck should i get recognized?']",Formality_pp_237,Formality_pp,Formality
155,"['Take him aside and tell him how you truly feel.', 'take him aside and tell him how u truly feel']",Formality_pp_238,Formality_pp,Formality
156,"['Ask a plastic surgeon if it is possible to make one.', 'ask a plastic surgeon to make one for you.']",Formality_pp_239,Formality_pp,Formality
157,"['Just tell them you are sorry and leave with the other people.', 'just say srry and go off with some other ppl.']",Formality_pp_24,Formality_pp,Formality
158,"['Yes, I am a girl and I like video games.', 'and yes i am a girl who likes video games.']",Formality_pp_240,Formality_pp,Formality
159,"['Johnny is a bad actor, but it is a nightmare when he dies.', 'nightmare because johnny dies, he is such a BAD actor!']",Formality_pp_241,Formality_pp,Formality
160,"['He tends to nap most days!', 'he tends to nap at them most days!']",Formality_pp_242,Formality_pp,Formality
161,"['Make yourself happy before anyone else!', 'Make urself happy before anyone else!']",Formality_pp_243,Formality_pp,Formality
162,"['The wedding is in April. The colors are lavender and white, with fresh cut flowers in huge vases on the head table.', 'colors lavendar/white wedding in april fresh cut flowers in huge vases on head table.']",Formality_pp_244,Formality_pp,Formality
163,"['Seriously, do not get the toothpaste.', 'serisly do not the toothpaste get dr. skip']",Formality_pp_245,Formality_pp,Formality
164,"['You can search for it at the following websites: allposters.com, ebay.com or yahoo.com.', 'allposters.com ebay.com just do a search on yahoooooooooooooooooooooooo']",Formality_pp_246,Formality_pp,Formality
165,"['I thought that he was going to marry Julia, but he married cameron.', 'i thought he was going to marry Julia but he stayed with his guts and married cameron']",Formality_pp_247,Formality_pp,Formality
166,"['Is your girlfriend there permanently?', 'But is your girlfriend there to stay?']",Formality_pp_248,Formality_pp,Formality
167,"[""I don't know, sorry but she has got a great voice and my favorite song by her is Breakaway."", 'i dunno sorry but she has got a great voice and my favorite song by her is breakaway']",Formality_pp_249,Formality_pp,Formality
168,"['I fail to understand the difficulty.', ""I don't see what the problem is.""]",Formality_pp_25,Formality_pp,Formality
169,"['My best friend and I conected instantly.', 'but me and my best friend... it was like instantly']",Formality_pp_250,Formality_pp,Formality
170,"['Regardless of what happens you should be happy.', ':) You should be happy regardless.']",Formality_pp_251,Formality_pp,Formality
171,"['Aside from people such as George Bush and Tony Blair who possess the ability to destroy the planet using nuclear weapons.', 'apart from people like Tony Blair & George Bush hu kill the planet best with nuclear wepons etc...!']",Formality_pp_252,Formality_pp,Formality
172,"['MULLINSKY IS A FALL GUY, HE TAKES LOTS OF RISKS AND HAS A LOT OF MONEY', 'Lots of money, often with lots of risks Mullinsky - A fall guy.']",Formality_pp_253,Formality_pp,Formality
173,"['You can dig around the internet.', 'YOU CAN DIG AROUND INTERNET MOVIE DATABASE.']",Formality_pp_254,Formality_pp,Formality
174,"['The four year old in your trunk.', 'The 4 Year old in your trunk']",Formality_pp_255,Formality_pp,Formality
175,"['I was supposed to go to the movies and go-kart racing on my prom night.', 'on my prom night i was supposed to go to the movies and go go kart racing!']",Formality_pp_256,Formality_pp,Formality
176,"['Their address is: 47483 Conneticut Dr, Nashville.', 'they live on 47483 conneticuit drive in nashville']",Formality_pp_257,Formality_pp,Formality
177,"['I would love to hear Eyes on Me by Faye Wong, please put it on.', 'Eyes on Me, Faye Wong, now!']",Formality_pp_258,Formality_pp,Formality
178,"['Because Pittsburgh is wonderful and everyone wishes they could live there.', 'because pittsburgh is awesome and everyone wishes they lived there!']",Formality_pp_259,Formality_pp,Formality
179,"['You must develop trust by learning about her, and then you can develop a relationship.', 'if u want a relationship with her then u have to get to know her...thats where trust comes in.']",Formality_pp_26,Formality_pp,Formality
180,"[""No I haven't had any dreams similar to that."", ""hmm nope haven't had any dreams like that before""]",Formality_pp_260,Formality_pp,Formality
181,"['i would rather do it with someone else grandma!!!', 'no but i would with someone elses grandma!!']",Formality_pp_261,Formality_pp,Formality
182,"['You already made your decision.', ""you already made your decision....it's over.""]",Formality_pp_262,Formality_pp,Formality
183,"['To answer your question, any big city. Just ask a cab driver.', 'To answer your question, any big city.................just ask a cab driver.']",Formality_pp_263,Formality_pp,Formality
184,"['I like Kelly Clarkson the best.', 'i like both but i would have to pick kelly clarkson']",Formality_pp_264,Formality_pp,Formality
185,"['I wanted to see how people would react.', 'in because i wanted to see how people would react.']",Formality_pp_265,Formality_pp,Formality
186,"['Also, men mature later then women.', 'Also, men mature later than woman.']",Formality_pp_266,Formality_pp,Formality
187,"['The blind man said, ""I see,"" as he picked up his hammer and saw.', 'I see, said the blind man, as he picked up his hammer and saw.']",Formality_pp_267,Formality_pp,Formality
188,"[""I'm black and found it funny."", ""I'm black and found it hilariously funny!!!""]",Formality_pp_268,Formality_pp,Formality
189,"['You try to forget everything good, and remember everything bad.', 'you just try to forget everything good, and remember everything bad.']",Formality_pp_269,Formality_pp,Formality
190,"['Try getting him intoxicated before you decide.', 'Get him drunk and see what he is like.']",Formality_pp_27,Formality_pp,Formality
191,"[""John Schneider has aged gracefully, I loved him on the show 'Dukes of Hazzard!'"", 'John Schneider has aged very well...i loved him on The Dukes of Hazzard!']",Formality_pp_270,Formality_pp,Formality
192,"[""One shouldn't date at 12 years old."", ""12 year olds shouldn't be dating.""]",Formality_pp_271,Formality_pp,Formality
193,"['A good website to resell your books is half.com.', 'half.com is a great website to sell your books!']",Formality_pp_272,Formality_pp,Formality
194,"['The second answer was I just went to the toilet and I got a Tampax.', 'the 2nd answer was : i just went to the toilet and i got a tampax.']",Formality_pp_273,Formality_pp,Formality
195,"['Do nt feel bad. My son is 31 and still single.', 'Dont feel bad, my son is 31 and still single.']",Formality_pp_274,Formality_pp,Formality
196,"['Tell her what your hopes and dream are for both of you in the futures.', 'Tell her what your hopes and dreams are for the two of you in the future.']",Formality_pp_275,Formality_pp,Formality
197,"['The mess is between the two of them.', 'after all, the mess is between the two of them.']",Formality_pp_276,Formality_pp,Formality
198,"[""No, I really didn't want New York to win."", ""No i didn't want New york to win""]",Formality_pp_277,Formality_pp,Formality
199,"['That would be the one about outer space and saving the queen.', 'The one in outer space... -Save the queen!']",Formality_pp_278,Formality_pp,Formality
200,"['I read somewhere, a new movie will be coming out 2008, or next year.', 'i read somewhere a new movie will be coming out next year or 2008.']",Formality_pp_279,Formality_pp,Formality
201,"['Once a man is unfaithful, they will always be unfaithful.', 'Once a cheater, always a cheater.']",Formality_pp_28,Formality_pp,Formality
202,"['We had a great time in Vegas!', 'We had a blast in Vegas!']",Formality_pp_280,Formality_pp,Formality
203,"['However, by purposefully hiding this it becomes unfriendly!', 'But by purposely hiding this was UNFRIENDLY!']",Formality_pp_281,Formality_pp,Formality
204,"['Keifer performed well as Jack Bauer.', 'Yeah, Keifer does a great job as Jack Bauer!!']",Formality_pp_282,Formality_pp,Formality
205,"['I enjoy when the Underdog wins.', 'I like when the underdog wins.']",Formality_pp_283,Formality_pp,Formality
206,"[""The devil's going to rip you a new lifestyle every time, lol."", "":) The devil's going to rip you a new lifestyle, everytime.""]",Formality_pp_284,Formality_pp,Formality
207,"[""It's going to happen, young jock."", 'young jock - its going down.']",Formality_pp_285,Formality_pp,Formality
208,"['If you know the third 1/18; please share it with me!', 'if you know the third 1/18, PLEASE share with me!!!']",Formality_pp_286,Formality_pp,Formality
209,"['Judas Priest Turbo Lover has just the right rhythm and sound for the occasion.', 'Judas Priest Turbo Lover, has the groove & rythym just for the occasion']",Formality_pp_287,Formality_pp,Formality
